slide,species,tissue,pmid,title,abstract,keywords,involve_cancer,tech,spot_num,gene_num
GSE148612_GSM5026144,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,2511,32285
GSE148612_GSM5026145,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,3113,32285
GSE148612_GSM5026146,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,2728,32285
GSE148612_GSM5026147,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,2419,32285
GSE148612_GSM5026148,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,2157,32285
GSE148612_GSM5026149,mouse,brain,34413515,Neuroinflammatory astrocyte subtypes in the mouse brain,"Astrocytes undergo an inflammatory transition after infections, acute injuries and chronic neurodegenerative diseases. How this transition is affected by time and sex, its heterogeneity at the single-cell level and how sub-states are spatially distributed in the brain remains unclear. In this study, we investigated transcriptome changes of mouse cortical astrocytes after an acute inflammatory stimulus using the bacterial cell wall endotoxin lipopolysaccharide. We identified fast transcriptomic changes in astrocytes occurring within hours that drastically change over time. By sequencing ~80,000 astrocytes at single-cell resolution, we show that inflammation causes a widespread response with subtypes of astrocytes undergoing distinct inflammatory transitions with defined transcriptomic profiles. We also attribute key sub-states of inflammation-induced reactive astrocytes to specific brain regions using spatial transcriptomics and in situ hybridization. Together, our datasets provide a powerful resource for profiling astrocyte heterogeneity and will be useful for understanding the biological importance of regionally constrained reactive astrocyte sub-states.",,False,Visium,2730,32285
GSE153424_GSM4644079,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3805,27999
GSE153424_GSM4644080,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,4128,27999
GSE153424_GSM4644081,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,4169,27999
GSE153424_GSM4644082,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3922,27999
