slide,species,tissue
GSE148612_GSM5026144,mouse,brain
GSE148612_GSM5026145,mouse,brain
GSE148612_GSM5026146,mouse,brain
GSE148612_GSM5026147,mouse,brain
GSE148612_GSM5026148,mouse,brain
GSE148612_GSM5026149,mouse,brain
GSE153424_GSM4644079,mouse,brain
GSE153424_GSM4644080,mouse,brain
GSE153424_GSM4644081,mouse,brain
GSE153424_GSM4644082,mouse,brain
GSE153424_GSM4644083,mouse,brain
GSE153424_GSM4644084,mouse,brain
GSE153424_GSM4644085,mouse,brain
GSE153424_GSM4644086,mouse,brain
GSE153859_GSM4656179,mouse,brain
GSE153859_GSM4656180,mouse,brain
GSE153859_GSM4656181,mouse,olfactory bulb
GSE158450_GSM4800808,mouse,brain
GSE158730_GSM7770348,mouse,olfactory epithelium
GSE158730_GSM7770349,mouse,olfactory epithelium
GSE158730_GSM7770350,mouse,olfactory epithelium
GSE158730_GSM7770351,mouse,olfactory epithelium
GSE160137_GSM4861202,mouse,embryo
GSE160137_GSM4861203,mouse,embryo
GSE160137_GSM4861204,mouse,embryo
GSE160137_GSM4861205,mouse,embryo
GSE173651_GSM5273010,human,skin
GSE173651_GSM5273011,human,skin
GSE173651_GSM5273012,human,skin
GSE173651_GSM5273013,human,skin
GSE173651_GSM5273014,human,skin
GSE173651_GSM5273015,human,skin
GSE174313_GSM5291683,mouse,brain
GSE174313_GSM5291684,mouse,brain
GSE174313_GSM5291685,mouse,brain
GSE174313_GSM5291686,mouse,brain
GSE178221_GSM5384657,human & mouse,mouse colon and human skin
GSE178221_GSM5384658,human & mouse,mouse duodenum and human skin
GSE178221_GSM5384659,human & mouse,mouse heart and human skin
GSE178361_GSM5388414,human,lung
GSE178361_GSM5388415,human,lung
GSE178758_GSM6443210,mouse,skin
GSE178758_GSM6443211,mouse,skin
GSE178758_GSM6443212,mouse,skin
GSE178758_GSM6443213,mouse,skin
GSE179572_GSM5420749,human,brain
GSE179572_GSM5420750,human,brain
GSE179572_GSM5420751,human,brain
